EN         MASS-RATIO DATA       DATA-ERR                         D107300200008 
MEV        NO-DIM     PC/FIS     PC/FIS                           D107300200009 
 160.5      0.655      0.792      0.032                           D107300200214 
 160.5      0.665      0.587      0.027                           D107300200215 
 160.5      0.675      0.467      0.024                           D107300200216 
 160.5      0.685      0.322      0.020                           D107300200217 
 160.5      0.695      0.223      0.017                           D107300200218 
 160.5      0.705      0.142      0.014                           D107300200219 
 170.1      0.295      0.300      0.024                           D107300200220 
 170.1      0.305      0.325      0.025                           D107300200221 
 170.1      0.315      0.395      0.028                           D107300200222 
 170.1      0.325      0.538      0.032                           D107300200223 
 170.1      0.335      0.786      0.039                           D107300200224 
 170.1      0.345      1.057      0.045                           D107300200225 
 170.1      0.355      1.183      0.048                           D107300200226 
 170.1      0.365      1.623      0.056                           D107300200227 
 170.1      0.375      1.782      0.059                           D107300200228 
 170.1      0.385      2.142      0.064                           D107300200229 
 170.1      0.395      2.340      0.067                           D107300200230 
 170.1      0.405      3.014      0.076                           D107300200231 
 170.1      0.415      3.291      0.080                           D107300200232 
 170.1      0.425      3.955      0.088                           D107300200233 
 170.1      0.435      4.083      0.089                           D107300200234 
 170.1      0.445      4.456      0.093                           D107300200235 
 170.1      0.455      4.865      0.097                           D107300200236 
 170.1      0.465      5.055      0.099                           D107300200237 
 170.1      0.475      5.187      0.100                           D107300200238 
 170.1      0.485      5.301      0.101                           D107300200239 
 170.1      0.495      5.140      0.100                           D107300200240 
 170.1      0.505      5.138      0.100                           D107300200241 
 170.1      0.515      5.303      0.101                           D107300200242 
 170.1      0.525      5.187      0.100                           D107300200243 
 170.1      0.535      5.055      0.099                           D107300200244 
 170.1      0.545      4.863      0.097                           D107300200245 
 170.1      0.555      4.458      0.093                           D107300200246 
 170.1      0.565      4.077      0.089                           D107300200247 
 170.1      0.575      3.957      0.088                           D107300200248 
 170.1      0.585      3.292      0.080                           D107300200249 
 170.1      0.595      3.014      0.076                           D107300200250 
 170.1      0.605      2.340      0.067                           D107300200251 
 170.1      0.615      2.142      0.064                           D107300200252 
 170.1      0.625      1.782      0.059                           D107300200253 
 170.1      0.635      1.625      0.056                           D107300200254 
 170.1      0.645      1.181      0.048                           D107300200255 
 170.1      0.655      1.059      0.045                           D107300200256 
 170.1      0.665      0.786      0.039                           D107300200257 
 170.1      0.675      0.538      0.032                           D107300200258 
 170.1      0.685      0.395      0.028                           D107300200259 
 170.1      0.695      0.325      0.025                           D107300200260 
 170.1      0.705      0.300      0.024                           D107300200261 
 181.8      0.285      0.324      0.018                           D107300200262 
 181.8      0.295      0.378      0.020                           D107300200263 
 181.8      0.305      0.500      0.023                           D107300200264 
 181.8      0.315      0.627      0.025                           D107300200265 
 181.8      0.325      0.786      0.029                           D107300200266 
 181.8      0.335      0.963      0.032                           D107300200267 
 181.8      0.345      1.172      0.035                           D107300200268 
 181.8      0.355      1.375      0.038                           D107300200269 
 181.8      0.365      1.646      0.041                           D107300200270 
 181.8      0.375      2.023      0.046                           D107300200271 
 181.8      0.385      2.358      0.049                           D107300200272 
 181.8      0.395      2.456      0.050                           D107300200273 
 181.8      0.405      2.853      0.054                           D107300200274 
 181.8      0.415      3.227      0.058                           D107300200275 
 181.8      0.425      3.903      0.064                           D107300200276 
 181.8      0.435      3.980      0.064                           D107300200277 
 181.8      0.445      4.316      0.067                           D107300200278 
 181.8      0.455      4.465      0.068                           D107300200279 
 181.8      0.465      4.555      0.069                           D107300200280 
 181.8      0.475      5.105      0.073                           D107300200281 
 181.8      0.485      5.084      0.073                           D107300200282 
 181.8      0.495      4.723      0.070                           D107300200283 
 181.8      0.505      4.723      0.070                           D107300200284 
 181.8      0.515      5.084      0.073                           D107300200285 
 181.8      0.525      5.105      0.073                           D107300200286 
 181.8      0.535      4.555      0.069                           D107300200287 
 181.8      0.545      4.465      0.068                           D107300200288 
 181.8      0.555      4.316      0.067                           D107300200289 
 181.8      0.565      3.978      0.064                           D107300200290 
 181.8      0.575      3.904      0.064                           D107300200291 
 181.8      0.585      3.228      0.058                           D107300200292 
 181.8      0.595      2.853      0.054                           D107300200293 
 181.8      0.605      2.455      0.050                           D107300200294 
 181.8      0.615      2.358      0.049                           D107300200295 
 181.8      0.625      2.023      0.046                           D107300200296 
 181.8      0.635      1.646      0.041                           D107300200297 
 181.8      0.645      1.376      0.038                           D107300200298 
 181.8      0.655      1.172      0.035                           D107300200299 
 181.8      0.665      0.963      0.032                           D107300200300 
 181.8      0.675      0.786      0.029                           D107300200301 
 181.8      0.685      0.627      0.025                           D107300200302 
 181.8      0.695      0.500      0.023                           D107300200303 
 181.8      0.705      0.378      0.020                           D107300200304 
 181.8      0.715      0.324      0.018                           D107300200305 
ENDDATA            298          0                                 D107300200306 
ENDSUBENT          305          0                                 D107300299999 
SUBENT        D1073003   20250426                             D149D107300300001 
BIB                  2          2                                 D107300300002 
REACTION   (62-SM-154(16-S-32,F)MASS,SEC,FY)                      D107300300003 
SAMPLE     (62-SM-154,ENR=0.996) 154Sm2O3, 95 ug/cm2              D107300300004 
ENDBIB               2          0                                 D107300300005 
NOCOMMON             0          0                                 D107300300006 
DATA                 4        284                                 D107300300007 
EN         MASS-RATIO DATA       DATA-ERR                         D107300300008 
MEV        NO-DIM     PC/FIS     PC/FIS                           D107300300009 
 142.6      0.325      0.243      0.029                           D107300300010 
 142.6      0.335      0.416      0.038                           D107300300011 
 142.6      0.345      0.532      0.043                           D107300300012 
 142.6      0.355      0.824      0.054                           D107300300013 
 142.6      0.365      0.927      0.057                           D107300300014 
 142.6      0.375      1.198      0.065                           D107300300015 
 142.6      0.385      1.797      0.080                           D107300300016 
 142.6      0.395      2.248      0.089                           D107300300017 
 142.6      0.405      2.780      0.099                           D107300300018 
 142.6      0.415      3.164      0.106                           D107300300019 
 142.6      0.425      3.777      0.115                           D107300300020 
 142.6      0.435      4.499      0.126                           D107300300021 
 142.6      0.445      4.714      0.129                           D107300300022 
 142.6      0.455      5.161      0.135                           D107300300023 
