LVL-NUMB   ANG        ANG-ERR    EN         DATA       ERR-S      D106200200009 
NO-DIM     ADEG       ADEG       KEV        MB/SR      MB/SR      D106200200010 
 0.         165.       1.0        1836.6      4.04      0.12      D106200200216 
 0.         165.       1.0        1841.6      4.40      0.13      D106200200217 
 0.         165.       1.0        1846.6      4.56      0.13      D106200200218 
 0.         165.       1.0        1851.6      4.93      0.15      D106200200219 
 0.         165.       1.0        1856.6      5.07      0.14      D106200200220 
 0.         165.       1.0        1861.6      5.88      0.17      D106200200221 
 0.         165.       1.0        1866.6      5.94      0.18      D106200200222 
 0.         165.       1.0        1871.6      7.43      0.20      D106200200223 
 0.         165.       1.0        1876.6      7.90      0.20      D106200200224 
 0.         165.       1.0        1881.6      7.77      0.21      D106200200225 
 0.         165.       1.0        1886.6      6.91      0.20      D106200200226 
 0.         165.       1.0        1891.6      6.90      0.17      D106200200227 
 0.         165.       1.0        1896.6      6.23      0.16      D106200200228 
 0.         165.       1.0        1906.6      4.59      0.13      D106200200229 
 0.         165.       1.0        1916.6      4.36      0.11      D106200200230 
 0.         165.       1.0        1926.6      4.85      0.13      D106200200231 
 0.         165.       1.0        1936.6      5.17      0.12      D106200200232 
 0.         165.       1.0        1946.6      6.03      0.15      D106200200233 
 0.         165.       1.0        1956.6      6.44      0.16      D106200200234 
 0.         165.       1.0        1966.6      7.13      0.17      D106200200235 
 0.         165.       1.0        1976.6      7.55      0.19      D106200200236 
 0.         165.       1.0        1986.6      8.40      0.21      D106200200237 
 0.         165.       1.0        1996.6      8.93      0.23      D106200200238 
 1.         135.       1.0        1496.4     12.37      0.19      D106200200239 
 1.         135.       1.0        1506.4     12.37      0.18      D106200200240 
 1.         135.       1.0        1516.4     12.03      0.18      D106200200241 
 1.         135.       1.0        1526.4     12.91      0.20      D106200200242 
 1.         135.       1.0        1536.4     10.77      0.18      D106200200243 
 1.         135.       1.0        1546.4     11.86      0.20      D106200200244 
 1.         135.       1.0        1551.4     11.51      0.20      D106200200245 
 1.         135.       1.0        1556.4     12.20      0.20      D106200200246 
 1.         135.       1.0        1561.4     11.78      0.20      D106200200247 
 1.         135.       1.0        1566.4     11.65      0.18      D106200200248 
 1.         135.       1.0        1571.4     11.24      0.17      D106200200249 
 1.         135.       1.0        1576.4     10.97      0.19      D106200200250 
 1.         135.       1.0        1581.4     11.31      0.20      D106200200251 
 1.         135.       1.0        1586.4     11.31      0.20      D106200200252 
 1.         135.       1.0        1591.4     10.48      0.18      D106200200253 
 1.         135.       1.0        1596.4     11.32      0.14      D106200200254 
 1.         135.       1.0        1601.4     11.87      0.21      D106200200255 
 1.         135.       1.0        1606.4     12.35      0.22      D106200200256 
 1.         135.       1.0        1611.4     12.43      0.22      D106200200257 
 1.         135.       1.0        1616.4     12.72      0.21      D106200200258 
 1.         135.       1.0        1621.4     13.03      0.22      D106200200259 
 1.         135.       1.0        1626.4     12.81      0.22      D106200200260 
 1.         135.       1.0        1631.4     12.92      0.23      D106200200261 
 1.         135.       1.0        1636.4     13.65      0.25      D106200200262 
 1.         135.       1.0        1641.4     14.60      0.26      D106200200263 
 1.         135.       1.0        1646.4     12.71      0.25      D106200200264 
 1.         135.       1.0        1651.4     14.18      0.25      D106200200265 
 1.         135.       1.0        1656.4     12.98      0.25      D106200200266 
 1.         135.       1.0        1661.4     12.03      0.22      D106200200267 
 1.         135.       1.0        1666.4     11.21      0.19      D106200200268 
 1.         135.       1.0        1671.4     11.20      0.19      D106200200269 
 1.         135.       1.0        1676.4      9.84      0.17      D106200200270 
 1.         135.       1.0        1681.4      9.85      0.17      D106200200271 
 1.         135.       1.0        1686.4      9.37      0.16      D106200200272 
 1.         135.       1.0        1691.4      9.48      0.15      D106200200273 
 1.         135.       1.0        1696.4      9.56      0.16      D106200200274 
 1.         135.       1.0        1706.4      9.43      0.15      D106200200275 
 1.         135.       1.0        1716.4      8.64      0.14      D106200200276 
 1.         135.       1.0        1726.4      7.51      0.11      D106200200277 
 1.         135.       1.0        1736.4      6.51      0.10      D106200200278 
 1.         135.       1.0        1746.5      5.57      0.09      D106200200279 
 1.         135.       1.0        1756.5      4.96      0.08      D106200200280 
 1.         135.       1.0        1766.5      4.54      0.08      D106200200281 
 1.         135.       1.0        1776.5      5.12      0.09      D106200200282 
 1.         135.       1.0        1786.5      5.15      0.09      D106200200283 
 1.         135.       1.0        1796.6      5.61      0.09      D106200200284 
 1.         135.       1.0        1801.6      6.13      0.10      D106200200285 
 1.         135.       1.0        1806.6      6.45      0.10      D106200200286 
 1.         135.       1.0        1811.6      7.04      0.11      D106200200287 
 1.         135.       1.0        1816.6      7.23      0.12      D106200200288 
 1.         135.       1.0        1821.6      7.41      0.11      D106200200289 
 1.         135.       1.0        1826.6      7.64      0.13      D106200200290 
 1.         135.       1.0        1831.6      8.34      0.14      D106200200291 
 1.         135.       1.0        1836.6      8.73      0.15      D106200200292 
 1.         135.       1.0        1841.6      9.15      0.16      D106200200293 
 1.         135.       1.0        1846.6      9.26      0.16      D106200200294 
 1.         135.       1.0        1851.6     10.51      0.19      D106200200295 
 1.         135.       1.0        1856.6      9.28      0.17      D106200200296 
 1.         135.       1.0        1861.6     11.15      0.20      D106200200297 
 1.         135.       1.0        1866.6     11.79      0.21      D106200200298 
 1.         135.       1.0        1871.6     12.68      0.22      D106200200299 
 1.         135.       1.0        1876.6     12.99      0.22      D106200200300 
 1.         135.       1.0        1881.6     13.51      0.24      D106200200301 
 1.         135.       1.0        1886.6     13.19      0.23      D106200200302 
 1.         135.       1.0        1891.6     13.49      0.20      D106200200303 
 1.         135.       1.0        1896.6     13.82      0.20      D106200200304 
 1.         135.       1.0        1906.6     14.75      0.19      D106200200305 
 1.         135.       1.0        1916.6     16.27      0.19      D106200200306 
 1.         135.       1.0        1926.6     16.30      0.20      D106200200307 
 1.         135.       1.0        1936.6     18.20      0.18      D106200200308 
 1.         135.       1.0        1946.6     19.90      0.24      D106200200309 
 1.         135.       1.0        1956.6     21.96      0.26      D106200200310 
 1.         135.       1.0        1966.6     23.47      0.27      D106200200311 
 1.         135.       1.0        1976.6     24.22      0.29      D106200200312 
 1.         135.       1.0        1986.6     25.8       0.3       D106200200313 
 1.         135.       1.0        1996.6     28.3       0.4       D106200200314 
 1.         150.       0.5        1496.4      7.64      0.19      D106200200315 
 1.         150.       0.5        1506.4      8.18      0.18      D106200200316 
 1.         150.       0.5        1516.4      7.91      0.19      D106200200317 
 1.         150.       0.5        1526.4      8.90      0.21      D106200200318 
 1.         150.       0.5        1536.4      8.49      0.22      D106200200319 
 1.         150.       0.5        1546.4      8.43      0.21      D106200200320 
 1.         150.       0.5        1551.4      7.81      0.20      D106200200321 
 1.         150.       0.5        1556.4      8.21      0.21      D106200200322 
 1.         150.       0.5        1561.4      8.62      0.22      D106200200323 
 1.         150.       0.5        1566.4      8.28      0.19      D106200200324 
 1.         150.       0.5        1571.4      7.26      0.18      D106200200325 
 1.         150.       0.5        1576.4      6.72      0.19      D106200200326 
 1.         150.       0.5        1581.4      7.40      0.21      D106200200327 
 1.         150.       0.5        1586.4      7.48      0.20      D106200200328 
 1.         150.       0.5        1591.4      6.94      0.19      D106200200329 
 1.         150.       0.5        1596.4      7.51      0.15      D106200200330 
 1.         150.       0.5        1601.4      7.70      0.21      D106200200331 
 1.         150.       0.5        1606.4      7.67      0.22      D106200200332 
 1.         150.       0.5        1611.4      8.17      0.22      D106200200333 
 1.         150.       0.5        1616.4      7.87      0.21      D106200200334 
 1.         150.       0.5        1621.4      8.52      0.22      D106200200335 
 1.         150.       0.5        1626.4      8.57      0.23      D106200200336 
 1.         150.       0.5        1631.4      8.51      0.24      D106200200337 
 1.         150.       0.5        1636.4      8.99      0.26      D106200200338 
 1.         150.       0.5        1641.4      9.18      0.26      D106200200339 
 1.         150.       0.5        1646.4      8.97      0.26      D106200200340 
 1.         150.       0.5        1651.4      8.92      0.25      D106200200341 
 1.         150.       0.5        1656.4      8.80      0.26      D106200200342 
 1.         150.       0.5        1661.4      7.51      0.22      D106200200343 
 1.         150.       0.5        1666.4      7.11      0.20      D106200200344 
 1.         150.       0.5        1671.4      6.45      0.19      D106200200345 
 1.         150.       0.5        1676.4      5.92      0.16      D106200200346 
 1.         150.       0.5        1681.4      6.15      0.18      D106200200347 
 1.         150.       0.5        1686.4      5.99      0.16      D106200200348 
 1.         150.       0.5        1691.4      5.77      0.15      D106200200349 
 1.         150.       0.5        1696.4      5.45      0.15      D106200200350 
 1.         150.       0.5        1706.4      5.21      0.14      D106200200351 
 1.         150.       0.5        1716.4      5.11      0.14      D106200200352 
 1.         150.       0.5        1726.4      4.42      0.11      D106200200353 
 1.         150.       0.5        1736.4      3.71      0.10      D106200200354 
 1.         150.       0.5        1746.5      2.91      0.09      D106200200355 
 1.         150.       0.5        1756.5      3.09      0.08      D106200200356 
 1.         150.       0.5        1766.5      3.19      0.08      D106200200357 
 1.         150.       0.5        1776.5      3.20      0.09      D106200200358 
 1.         150.       0.5        1786.5      3.79      0.10      D106200200359 
 1.         150.       0.5        1796.6      4.06      0.10      D106200200360 
 1.         150.       0.5        1801.6      4.29      0.11      D106200200361 
 1.         150.       0.5        1806.6      4.60      0.11      D106200200362 
 1.         150.       0.5        1811.6      4.66      0.12      D106200200363 
 1.         150.       0.5        1816.6      5.49      0.13      D106200200364 
 1.         150.       0.5        1821.6      5.22      0.12      D106200200365 
 1.         150.       0.5        1826.6      5.95      0.15      D106200200366 
 1.         150.       0.5        1831.6      5.96      0.15      D106200200367 
 1.         150.       0.5        1836.6      6.52      0.16      D106200200368 
 1.         150.       0.5        1841.6      6.37      0.17      D106200200369 
 1.         150.       0.5        1846.6      6.52      0.17      D106200200370 
 1.         150.       0.5        1851.6      7.16      0.20      D106200200371 
 1.         150.       0.5        1856.6      7.32      0.19      D106200200372 
 1.         150.       0.5        1861.6      6.97      0.20      D106200200373 
 1.         150.       0.5        1866.6      6.57      0.20      D106200200374 
 1.         150.       0.5        1871.6      7.52      0.22      D106200200375 
 1.         150.       0.5        1876.6      7.98      0.22      D106200200376 
 1.         150.       0.5        1881.6      7.52      0.23      D106200200377 
 1.         150.       0.5        1886.6      8.44      0.24      D106200200378 
 1.         150.       0.5        1891.6      9.18      0.21      D106200200379 
 1.         150.       0.5        1896.6      8.81      0.20      D106200200380 
 1.         150.       0.5        1906.6     10.09      0.20      D106200200381 
 1.         150.       0.5        1916.6     12.39      0.21      D106200200382 
 1.         150.       0.5        1926.6     12.75      0.22      D106200200383 
 1.         150.       0.5        1936.6     13.93      0.21      D106200200384 
 1.         150.       0.5        1946.6     15.52      0.27      D106200200385 
 1.         150.       0.5        1956.6     16.27      0.28      D106200200386 
 1.         150.       0.5        1966.6     17.27      0.29      D106200200387 
 1.         150.       0.5        1976.6     18.4       0.3       D106200200388 
 1.         150.       0.5        1986.6     20.4       0.4       D106200200389 
 1.         150.       0.5        1996.6     21.1       0.4       D106200200390 
 1.         165.       1.0        1496.4      6.24      0.16      D106200200391 
