ENTRY            D8110   20251120                             D151D811000000001 
SUBENT        D8110001   20251120                             D151D811000100001 
BIB                 10         25                                 D811000100002 
TITLE      New measurements of (p,xp) and (p,x&#945;) reactions   D811000100003 
            on 27 Al at 7.0, 22.0 and 30.0 MeV                    D811000100004 
AUTHOR     (D.Gusseinova, G.Ussabayeva, T.K.Zholdybayev,          D811000100005 
            I.Boztosun, Y.Kucuk, A.J.Koning, Zh.Kerimkulov,       D811000100006 
            B.Sadykov, A.Temirzhanov, B.Canbula)                  D811000100007 
INSTITUTE  (4KASKAZ,3ZZZIAE,4KASATN,4KASAFU)                      D811000100008 
           (2TUKTUK) Akdeniz University, Antalya; Temel Bilimler  D811000100009 
            Arastirma Enstitusu (TBAE), Kocaeli; Turkish          D811000100010 
            Accelerator and Radiation Laboratory (TARLA), Ankara; D811000100011 
            Manisa Celal Bayar University, Manisa                 D811000100012 
           (4KASKAS) Satbayev University, Almaty; Abai Kazakh     D811000100013 
             National Pedagogical University, Almaty              D811000100014 
REFERENCE  (J,EPJ/A,61,133,2025)                                  D811000100015 
FACILITY   (ISOCY,4KASKAZ) U-150M                                 D811000100016 
SAMPLE     27Al foil (3.65 mg/cm2)                                D811000100017 
DETECTOR   (TELES,SI,SI) 25-50 um thick Si dE detector and 2 mm   D811000100018 
            thick Si E detector                                   D811000100019 
METHOD     (EDE,BCINT)                                            D811000100020 
ERR-ANALYS (ERR-T) Total uncertainty                              D811000100021 
           (ERR-SYS,,10.) Total systematic uncertainty  (<10%)    D811000100022 
           (ERR-1) Determination of target thickness      (5%)    D811000100023 
           (ERR-2) Calibration of the current integrator  (1%)    D811000100024 
           (ERR-3) Solid angle of the spectrometer      (1.3%)    D811000100025 
           (ERR-4) Beam energy                          (1.2%)    D811000100026 
HISTORY    (20250923C) Zholdybayev                                D811000100027 
ENDBIB              25          0                                 D811000100028 
COMMON               4          3                                 D811000100029 
ERR-1      ERR-2      ERR-3      ERR-4                            D811000100030 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         D811000100031 
         5.         1.        1.3        1.2                      D811000100032 
ENDCOMMON            3          0                                 D811000100033 
ENDSUBENT           32          0                                 D811000199999 
SUBENT        D8110002   20251120                             D151D811000200001 
BIB                  2          2                                 D811000200002 
REACTION   (29-CU-0(P,X)1-H-1,,DA/DE)                             D811000200003 
STATUS     (TABLE,,D.Gusseinova+,J,EPJ/A,61,133,2025) Fig.5       D811000200004 
ENDBIB               2          0                                 D811000200005 
NOCOMMON             0          0                                 D811000200006 
DATA                 5       1433                                 D811000200007 
EN         ANG        E-CM       DATA-CM    ERR-T                 D811000200008 
        22.       135.       7.46      2.314      0.068           D811000200932 
        22.       135.       7.67      2.274      0.068           D811000200933 
        22.       135.       7.88      2.117      0.064           D811000200934 
        22.       135.       8.09      2.075      0.064           D811000200935 
        22.       135.       8.29      2.017      0.062           D811000200936 
        22.       135.       8.50      2.015      0.062           D811000200937 
        22.       135.       8.71      1.940      0.061           D811000200938 
        22.       135.       8.92      1.851      0.059           D811000200939 
        22.       135.       9.13      1.800      0.058           D811000200940 
        22.       135.       9.34      1.805      0.058           D811000200941 
        22.       135.       9.54      1.686      0.056           D811000200942 
        22.       135.       9.75      1.665      0.055           D811000200943 
        22.       135.       9.96      1.493      0.052           D811000200944 
        22.       135.      10.17      1.514      0.052           D811000200945 
        22.       135.      10.38      1.572      0.053           D811000200946 
        22.       135.      10.58      1.522      0.052           D811000200947 
        22.       135.      10.79      1.471      0.051           D811000200948 
        22.       135.      11.00      1.338      0.048           D811000200949 
        22.       135.      11.21      1.176      0.045           D811000200950 
        22.       135.      11.42      1.156      0.044           D811000200951 
        22.       135.      11.62      1.047      0.042           D811000200952 
        22.       135.      11.83      1.122      0.043           D811000200953 
        22.       135.      12.04      1.053      0.042           D811000200954 
        22.       135.      12.24      1.072      0.042           D811000200955 
        22.       135.      12.45      1.046      0.042           D811000200956 
        22.       135.      12.66      1.002      0.041           D811000200957 
        22.       135.      12.87      1.064      0.042           D811000200958 
        22.       135.      13.07      1.076      0.042           D811000200959 
        22.       135.      13.28      1.166      0.044           D811000200960 
        22.       135.      13.49      1.186      0.045           D811000200961 
        22.       135.      13.69      1.066      0.042           D811000200962 
        22.       135.      13.90      0.983      0.040           D811000200963 
        22.       135.      14.11      0.831      0.036           D811000200964 
        22.       135.      14.31      0.719      0.034           D811000200965 
        22.       135.      14.52      0.627      0.031           D811000200966 
        22.       135.      14.73      0.546      0.029           D811000200967 
        22.       135.      14.93      0.553      0.029           D811000200968 
        22.       135.      15.14      0.580      0.030           D811000200969 
        22.       135.      15.35      0.605      0.030           D811000200970 
        22.       135.      15.55      0.481      0.027           D811000200971 
        22.       135.      15.76      0.452      0.026           D811000200972 
        22.       135.      15.97      0.435      0.025           D811000200973 
        22.       135.      16.17      0.437      0.025           D811000200974 
        22.       135.      16.38      0.394      0.024           D811000200975 
        22.       135.      16.58      0.328      0.022           D811000200976 
        22.       135.      16.79      0.352      0.023           D811000200977 
        22.       135.      17.00      0.425      0.025           D811000200978 
        22.       135.      17.20      0.610      0.031           D811000200979 
        22.       135.      17.41      0.739      0.034           D811000200980 
        22.       135.      17.61      0.868      0.037           D811000200981 
        22.       135.      17.82      0.854      0.037           D811000200982 
        22.       135.      18.03      0.760      0.035           D811000200983 
        22.       135.      18.23      0.794      0.035           D811000200984 
        22.       135.      18.44      0.735      0.034           D811000200985 
        22.       135.      18.64      0.608      0.030           D811000200986 
        22.       135.      18.85      0.488      0.027           D811000200987 
        22.       135.      19.06      0.542      0.029           D811000200988 
        22.       135.      19.26      0.576      0.030           D811000200989 
        22.       135.      19.47      0.740      0.034           D811000200990 
        22.       135.      19.67      1.001      0.040           D811000200991 
        22.       135.      19.88      1.437      0.050           D811000200992 
        22.       135.      20.08      1.828      0.058           D811000200993 
        22.       135.      20.29      2.079      0.063           D811000200994 
        22.       135.      20.50      2.310      0.068           D811000200995 
        22.       135.      20.70      1.838      0.058           D811000200996 
        22.       135.      20.91      1.355      0.048           D811000200997 
        22.       135.      21.11      0.904      0.038           D811000200998 
        22.       135.      21.32      0.577      0.030           D811000200999 
        22.       135.      21.52      0.379      0.024           D811000201000 
        22.       135.      21.73      0.258      0.019           D811000201001 
        22.       135.      21.93      0.172      0.016           D811000201002 
        22.       135.      22.14      0.115      0.013           D811000201003 
        30.        30.       3.27      0.098      0.017           D811000201004 
        30.        30.       3.74      4.964      0.510           D811000201005 
        30.        30.       4.21      9.304      0.948           D811000201006 
        30.        30.       4.68     10.240      1.043           D811000201007 
        30.        30.       5.14      9.772      0.995           D811000201008 
        30.        30.       5.61      9.338      0.952           D811000201009 
        30.        30.       6.08      8.357      0.853           D811000201010 
        30.        30.       6.55      7.690      0.785           D811000201011 
        30.        30.       7.01      6.772      0.693           D811000201012 
        30.        30.       7.48      6.278      0.643           D811000201013 
        30.        30.       7.95      5.523      0.567           D811000201014 
        30.        30.       8.42      5.089      0.523           D811000201015 
        30.        30.       8.88      4.567      0.470           D811000201016 
        30.        30.       9.35      4.276      0.441           D811000201017 
        30.        30.       9.82      3.843      0.397           D811000201018 
        30.        30.      10.29      3.735      0.386           D811000201019 
        30.        30.      10.75      3.524      0.365           D811000201020 
        30.        30.      11.22      3.379      0.351           D811000201021 
        30.        30.      11.69      3.132      0.326           D811000201022 
        30.        30.      12.16      3.158      0.328           D811000201023 
        30.        30.      12.62      3.182      0.331           D811000201024 
        30.        30.      13.09      3.164      0.329           D811000201025 
        30.        30.      13.56      2.799      0.292           D811000201026 
        30.        30.      14.03      2.720      0.284           D811000201027 
        30.        30.      14.49      2.630      0.275           D811000201028 
        30.        30.      14.96      2.463      0.258           D811000201029 
        30.        30.      15.43      2.558      0.268           D811000201030 
        30.        30.      15.90      2.575      0.269           D811000201031 
        30.        30.      16.36      2.887      0.301           D811000201032 
        30.        30.      16.83      2.954      0.308           D811000201033 
        30.        30.      17.30      2.743      0.286           D811000201034 
        30.        30.      17.77      2.903      0.303           D811000201035 
        30.        30.      18.23      3.136      0.326           D811000201036 
        30.        30.      18.70      3.156      0.328           D811000201037 
        30.        30.      19.17      2.963      0.309           D811000201038 
        30.        30.      19.64      2.709      0.283           D811000201039 
        30.        30.      20.10      3.092      0.322           D811000201040 
        30.        30.      20.57      3.631      0.376           D811000201041 
        30.        30.      21.04      4.152      0.429           D811000201042 
        30.        30.      21.51      3.663      0.379           D811000201043 
        30.        30.      21.97      2.901      0.302           D811000201044 
        30.        30.      22.44      2.290      0.241           D811000201045 
        30.        30.      22.91      2.471      0.259           D811000201046 
        30.        30.      23.38      2.994      0.312           D811000201047 
        30.        30.      23.84      3.004      0.313           D811000201048 
        30.        30.      24.31      2.915      0.304           D811000201049 
        30.        30.      24.78      4.293      0.443           D811000201050 
        30.        30.      25.25      6.372      0.652           D811000201051 
        30.        30.      25.71      7.224      0.738           D811000201052 
        30.        30.      26.18      6.894      0.705           D811000201053 
        30.        30.      26.65     12.012      1.221           D811000201054 
        30.        30.      27.12     35.485      3.589           D811000201055 
        30.        30.      27.58     67.625      6.831           D811000201056 
        30.        30.      28.05     61.210      6.184           D811000201057 
        30.        30.      28.52     24.489      2.480           D811000201058 
        30.        30.      28.99      6.378      0.653           D811000201059 
        30.        30.      29.45      2.012      0.213           D811000201060 
        30.        45.        3.5      0.515      0.057           D811000201061 
        30.        45.        4.0      5.613      0.572           D811000201062 
        30.        45.        4.5      8.124      0.825           D811000201063 
        30.        45.        5.0      8.676      0.881           D811000201064 
        30.        45.        5.5      8.270      0.840           D811000201065 
        30.        45.        6.0      7.948      0.807           D811000201066 
        30.        45.        6.5      7.011      0.713           D811000201067 
        30.        45.        7.0      6.283      0.639           D811000201068 
        30.        45.        7.5      5.598      0.570           D811000201069 
        30.        45.        8.0      5.133      0.524           D811000201070 
        30.        45.        8.5      4.671      0.477           D811000201071 
        30.        45.        9.0      4.371      0.447           D811000201072 
        30.        45.        9.5      3.745      0.383           D811000201073 
        30.        45.       10.0      3.372      0.346           D811000201074 
        30.        45.       10.5      3.168      0.325           D811000201075 
        30.        45.       11.0      2.978      0.306           D811000201076 
        30.        45.       11.5      2.766      0.285           D811000201077 
        30.        45.       12.0      2.583      0.266           D811000201078 
        30.        45.       12.5      2.513      0.259           D811000201079 
        30.        45.       13.0      2.439      0.252           D811000201080 
        30.        45.       13.5      2.362      0.244           D811000201081 
        30.        45.       14.0      2.625      0.271           D811000201082 
        30.        45.       14.5      2.583      0.266           D811000201083 
        30.        45.       15.0      2.099      0.217           D811000201084 
        30.        45.       15.5      1.930      0.200           D811000201085 
        30.        45.       16.0      1.866      0.194           D811000201086 
        30.        45.       16.5      1.868      0.194           D811000201087 
        30.        45.       17.0      1.920      0.199           D811000201088 
        30.        45.       17.5      2.036      0.211           D811000201089 
        30.        45.       18.0      1.967      0.204           D811000201090 
        30.        45.       18.5      2.041      0.212           D811000201091 
        30.        45.       19.0      2.033      0.211           D811000201092 
        30.        45.       19.5      2.113      0.219           D811000201093 
        30.        45.       20.0      1.970      0.204           D811000201094 
        30.        45.       20.5      1.853      0.193           D811000201095 
        30.        45.       21.0      1.986      0.206           D811000201096 
        30.        45.       21.5      2.073      0.215           D811000201097 
        30.        45.       22.0      2.496      0.258           D811000201098 
        30.        45.       22.5      2.916      0.300           D811000201099 
        30.        45.       23.0      2.441      0.252           D811000201100 
        30.        45.       23.5      1.783      0.186           D811000201101 
        30.        45.       24.0      1.606      0.168           D811000201102 
        30.        45.       24.5      1.706      0.178           D811000201103 
        30.        45.       25.0      1.717      0.179           D811000201104 
        30.        45.       25.5      1.617      0.169           D811000201105 
        30.        45.       26.0      1.747      0.182           D811000201106 
        30.        45.       26.5      2.245      0.232           D811000201107 
        30.        45.       27.0      2.740      0.282           D811000201108 
        30.        45.       27.5      2.936      0.302           D811000201109 
        30.        45.       28.0      4.629      0.473           D811000201110 
        30.        45.       28.5      12.56       1.27           D811000201111 
        30.        45.       29.0      24.75       2.50           D811000201112 
        30.        45.       29.5      26.98       2.73           D811000201113 
        30.        45.       30.0      15.64       1.58           D811000201114 
        30.        45.       30.5      6.026      0.614           D811000201115 
        30.        45.       31.0      2.375      0.245           D811000201116 
        30.        45.       31.5      1.119      0.119           D811000201117 
        30.        60.        3.5      1.499      0.153           D811000201118 
        30.        60.        4.0      6.058      0.613           D811000201119 
        30.        60.        4.5      7.587      0.767           D811000201120 
        30.        60.        5.0      7.690      0.778           D811000201121 
        30.        60.        5.5      7.409      0.749           D811000201122 
        30.        60.        6.0      6.810      0.689           D811000201123 
        30.        60.        6.5      6.162      0.623           D811000201124 
        30.        60.        7.0      5.855      0.593           D811000201125 
        30.        60.        7.5      5.461      0.553           D811000201126 
        30.        60.        8.0      4.510      0.457           D811000201127 
        30.        60.        8.5      4.061      0.412           D811000201128 
        30.        60.        9.0      3.618      0.367           D811000201129 
        30.        60.        9.5      3.241      0.329           D811000201130 
        30.        60.       10.0      2.914      0.296           D811000201131 
        30.        60.       10.5      2.684      0.273           D811000201132 
        30.        60.       11.0      2.389      0.243           D811000201133 
        30.        60.       11.5      2.270      0.231           D811000201134 
        30.        60.       12.0      2.179      0.222           D811000201135 
        30.        60.       12.5      2.019      0.206           D811000201136 
        30.        60.       13.0      1.956      0.199           D811000201137 
        30.        60.       13.5      1.823      0.186           D811000201138 
        30.        60.       14.0      1.685      0.172           D811000201139 
        30.        60.       14.5      1.580      0.161           D811000201140 
        30.        60.       15.0      1.477      0.151           D811000201141 
        30.        60.       15.5      1.497      0.153           D811000201142 
        30.        60.       16.0      1.457      0.149           D811000201143 
        30.        60.       16.5      1.503      0.154           D811000201144 
        30.        60.       17.0      1.450      0.148           D811000201145 
        30.        60.       17.5      1.459      0.149           D811000201146 
        30.        60.       18.0      1.457      0.149           D811000201147 
        30.        60.       18.5      1.443      0.148           D811000201148 
        30.        60.       19.0      1.472      0.150           D811000201149 
        30.        60.       19.5      1.423      0.146           D811000201150 
        30.        60.       20.0      1.308      0.134           D811000201151 
        30.        60.       20.5      1.304      0.134           D811000201152 
        30.        60.       21.0      1.389      0.142           D811000201153 
        30.        60.       21.5      1.567      0.160           D811000201154 
        30.        60.       22.0      1.752      0.179           D811000201155 
        30.        60.       22.5      1.536      0.157           D811000201156 
        30.        60.       23.0      1.230      0.126           D811000201157 
        30.        60.       23.5      1.138      0.117           D811000201158 
        30.        60.       24.0      1.186      0.122           D811000201159 
        30.        60.       24.5      1.206      0.124           D811000201160 
        30.        60.       25.0      1.151      0.118           D811000201161 
        30.        60.       25.5      1.333      0.136           D811000201162 
        30.        60.       26.0      1.791      0.183           D811000201163 
        30.        60.       26.5      2.111      0.215           D811000201164 
        30.        60.       27.0      2.292      0.233           D811000201165 
        30.        60.       27.5      3.520      0.357           D811000201166 
        30.        60.       28.0      7.962      0.805           D811000201167 
        30.        60.       28.5      15.48       1.56           D811000201168 
        30.        60.       29.0      18.02       1.82           D811000201169 
        30.        60.       29.5      11.54       1.17           D811000201170 
        30.        60.       30.0       4.89       0.49           D811000201171 
        30.        60.       30.5      2.076      0.211           D811000201172 
        30.        60.       31.0      1.029      0.106           D811000201173 
        30.        75.        3.5      0.523      0.059           D811000201174 
        30.        75.        4.0      6.489      0.661           D811000201175 
        30.        75.        4.5      9.993      1.014           D811000201176 
        30.        75.        5.0     10.606      1.076           D811000201177 
        30.        75.        5.5      9.950      1.010           D811000201178 
        30.        75.        6.0      9.075      0.921           D811000201179 
        30.        75.        6.5      8.386      0.852           D811000201180 
        30.        75.        7.0      7.629      0.776           D811000201181 
        30.        75.        7.5      6.685      0.680           D811000201182 
        30.        75.        8.0      5.835      0.595           D811000201183 
        30.        75.        8.5      5.233      0.534           D811000201184 
        30.        75.        9.0      4.646      0.475           D811000201185 
        30.        75.        9.5      4.051      0.415           D811000201186 
        30.        75.       10.0      3.589      0.368           D811000201187 
        30.        75.       10.5      3.203      0.329           D811000201188 
        30.        75.       11.0      2.873      0.296           D811000201189 
        30.        75.       11.5      2.578      0.266           D811000201190 
        30.        75.       12.0      2.543      0.263           D811000201191 
        30.        75.       12.5      2.268      0.235           D811000201192 
        30.        75.       13.0      2.219      0.230           D811000201193 
        30.        75.       13.5      1.965      0.204           D811000201194 
        30.        75.       14.0      1.786      0.186           D811000201195 
        30.        75.       14.5      1.667      0.174           D811000201196 
        30.        75.       15.0      1.605      0.168           D811000201197 
        30.        75.       15.5      1.457      0.153           D811000201198 
        30.        75.       16.0      1.513      0.159           D811000201199 
        30.        75.       16.5      1.362      0.143           D811000201200 
        30.        75.       17.0      1.418      0.149           D811000201201 
        30.        75.       17.5      1.407      0.148           D811000201202 
        30.        75.       18.0      1.255      0.133           D811000201203 
        30.        75.       18.5      1.135      0.121           D811000201204 
        30.        75.       19.0      1.053      0.112           D811000201205 
        30.        75.       19.5      1.017      0.109           D811000201206 
        30.        75.       20.0      1.045      0.111           D811000201207 
        30.        75.       20.5      1.173      0.124           D811000201208 
        30.        75.       21.0      1.162      0.123           D811000201209 
        30.        75.       21.5      1.115      0.118           D811000201210 
        30.        75.       22.0      0.870      0.094           D811000201211 
        30.        75.       22.5      0.640      0.070           D811000201212 
        30.        75.       23.0      0.567      0.063           D811000201213 
        30.        75.       23.5      0.574      0.064           D811000201214 
        30.        75.       24.0      0.482      0.054           D811000201215 
        30.        75.       24.5      0.533      0.060           D811000201216 
        30.        75.       25.0      0.687      0.075           D811000201217 
        30.        75.       25.5      0.816      0.088           D811000201218 
        30.        75.       26.0      0.863      0.093           D811000201219 
        30.        75.       26.5      0.968      0.104           D811000201220 
        30.        75.       27.0      2.024      0.210           D811000201221 
        30.        75.       27.5      3.963      0.406           D811000201222 
        30.        75.       28.0      4.185      0.428           D811000201223 
        30.        75.       28.5      2.454      0.254           D811000201224 
        30.        75.       29.0      1.080      0.115           D811000201225 
        30.        75.       29.5      0.413      0.047           D811000201226 
        30.        90.        3.5      0.326      0.037           D811000201227 
        30.        90.        4.0      4.051      0.412           D811000201228 
        30.        90.        4.5      6.238      0.633           D811000201229 
        30.        90.        5.0      6.621      0.672           D811000201230 
        30.        90.        5.5      6.211      0.630           D811000201231 
        30.        90.        6.0      5.665      0.575           D811000201232 
        30.        90.        6.5      5.235      0.532           D811000201233 
        30.        90.        7.0      4.762      0.484           D811000201234 
        30.        90.        7.5      4.173      0.425           D811000201235 
        30.        90.        8.0      3.643      0.371           D811000201236 
        30.        90.        8.5      3.267      0.333           D811000201237 
        30.        90.        9.0      2.900      0.296           D811000201238 
        30.        90.        9.5      2.529      0.259           D811000201239 
        30.        90.       10.0      2.240      0.230           D811000201240 
        30.        90.       10.5      1.999      0.205           D811000201241 
        30.        90.       11.0      1.793      0.185           D811000201242 
        30.        90.       11.5      1.610      0.166           D811000201243 
        30.        90.       12.0      1.587      0.164           D811000201244 
        30.        90.       12.5      1.416      0.147           D811000201245 
        30.        90.       13.0      1.385      0.144           D811000201246 
        30.        90.       13.5      1.226      0.128           D811000201247 
        30.        90.       14.0      1.115      0.116           D811000201248 
        30.        90.       14.5      1.040      0.109           D811000201249 
        30.        90.       15.0      1.002      0.105           D811000201250 
        30.        90.       15.5      0.909      0.095           D811000201251 
        30.        90.       16.0      0.944      0.099           D811000201252 
        30.        90.       16.5      0.850      0.090           D811000201253 
        30.        90.       17.0      0.885      0.093           D811000201254 
        30.        90.       17.5      0.878      0.092           D811000201255 
        30.        90.       18.0      0.783      0.083           D811000201256 
        30.        90.       18.5      0.709      0.075           D811000201257 
        30.        90.       19.0      0.657      0.070           D811000201258 
        30.        90.       19.5      0.635      0.068           D811000201259 
        30.        90.       20.0      0.652      0.070           D811000201260 
        30.        90.       20.5      0.732      0.078           D811000201261 
        30.        90.       21.0      0.725      0.077           D811000201262 
        30.        90.       21.5      0.696      0.074           D811000201263 
        30.        90.       22.0      0.543      0.059           D811000201264 
        30.        90.       22.5      0.399      0.044           D811000201265 
        30.        90.       23.0      0.354      0.039           D811000201266 
        30.        90.       23.5      0.358      0.040           D811000201267 
        30.        90.       24.0      0.301      0.034           D811000201268 
        30.        90.       24.5      0.333      0.037           D811000201269 
        30.        90.       25.0      0.429      0.047           D811000201270 
        30.        90.       25.5      0.509      0.055           D811000201271 
        30.        90.       26.0      0.539      0.058           D811000201272 
        30.        90.       26.5      0.604      0.065           D811000201273 
        30.        90.       27.0      1.263      0.131           D811000201274 
        30.        90.       27.5      2.474      0.253           D811000201275 
        30.        90.       28.0      2.612      0.267           D811000201276 
        30.        90.       28.5      1.532      0.158           D811000201277 
        30.        90.       29.0      0.674      0.072           D811000201278 
        30.        90.       29.5      0.258      0.030           D811000201279 
        30.        90.       30.0      0.124      0.016           D811000201280 
        30.       105.        3.5      0.605      0.063           D811000201281 
        30.       105.        4.0      3.954      0.401           D811000201282 
        30.       105.        4.5      5.539      0.561           D811000201283 
        30.       105.        5.0      5.656      0.573           D811000201284 
        30.       105.        5.5      5.196      0.526           D811000201285 
        30.       105.        6.0      4.867      0.493           D811000201286 
        30.       105.        6.5      4.378      0.444           D811000201287 
        30.       105.        7.0      3.835      0.389           D811000201288 
        30.       105.        7.5      3.421      0.347           D811000201289 
        30.       105.        8.0      3.024      0.307           D811000201290 
        30.       105.        8.5      2.574      0.262           D811000201291 
        30.       105.        9.0      2.279      0.232           D811000201292 
        30.       105.        9.5      1.961      0.200           D811000201293 
        30.       105.       10.0      1.752      0.179           D811000201294 
        30.       105.       10.5      1.606      0.164           D811000201295 
        30.       105.       11.0      1.411      0.145           D811000201296 
        30.       105.       11.5      1.332      0.137           D811000201297 
        30.       105.       12.0      1.155      0.119           D811000201298 
        30.       105.       12.5      1.070      0.110           D811000201299 
        30.       105.       13.0      1.005      0.104           D811000201300 
        30.       105.       13.5      0.870      0.090           D811000201301 
        30.       105.       14.0      0.800      0.083           D811000201302 
        30.       105.       14.5      0.758      0.079           D811000201303 
        30.       105.       15.0      0.719      0.075           D811000201304 
        30.       105.       15.5      0.692      0.072           D811000201305 
        30.       105.       16.0      0.661      0.069           D811000201306 
        30.       105.       16.5      0.604      0.063           D811000201307 
        30.       105.       17.0      0.578      0.060           D811000201308 
        30.       105.       17.5      0.561      0.059           D811000201309 
        30.       105.       18.0      0.507      0.053           D811000201310 
        30.       105.       18.5      0.463      0.049           D811000201311 
        30.       105.       19.0      0.429      0.046           D811000201312 
        30.       105.       19.5      0.427      0.045           D811000201313 
        30.       105.       20.0      0.453      0.048           D811000201314 
        30.       105.       20.5      0.451      0.048           D811000201315 
        30.       105.       21.0      0.423      0.045           D811000201316 
        30.       105.       21.5      0.336      0.036           D811000201317 
        30.       105.       22.0      0.297      0.032           D811000201318 
        30.       105.       22.5      0.266      0.029           D811000201319 
        30.       105.       23.0      0.262      0.029           D811000201320 
        30.       105.       23.5      0.225      0.025           D811000201321 
        30.       105.       24.0      0.262      0.029           D811000201322 
        30.       105.       24.5      0.350      0.037           D811000201323 
        30.       105.       25.0      0.406      0.043           D811000201324 
        30.       105.       25.5      0.377      0.040           D811000201325 
        30.       105.       26.0      0.475      0.050           D811000201326 
        30.       105.       26.5      0.939      0.097           D811000201327 
        30.       105.       27.0      1.590      0.163           D811000201328 
        30.       105.       27.5      1.612      0.165           D811000201329 
        30.       105.       28.0      1.010      0.104           D811000201330 
        30.       105.       28.5      0.434      0.046           D811000201331 
        30.       105.       29.0      0.197      0.022           D811000201332 
        30.       105.       29.5      0.101      0.012           D811000201333 
        30.       105.       30.0      0.063      0.008           D811000201334 
        30.       120.        3.5      1.494      0.153           D811000201335 
        30.       120.        4.0      4.494      0.455           D811000201336 
        30.       120.        4.5      5.435      0.550           D811000201337 
        30.       120.        5.0      5.126      0.519           D811000201338 
        30.       120.        5.5      4.680      0.474           D811000201339 
        30.       120.        6.0      4.302      0.436           D811000201340 
        30.       120.        6.5      3.933      0.399           D811000201341 
        30.       120.        7.0      3.500      0.355           D811000201342 
        30.       120.        7.5      3.096      0.314           D811000201343 
        30.       120.        8.0      2.705      0.275           D811000201344 
        30.       120.        8.5      2.339      0.238           D811000201345 
        30.       120.        9.0      2.041      0.208           D811000201346 
        30.       120.        9.5      1.789      0.182           D811000201347 
        30.       120.       10.0      1.569      0.160           D811000201348 
        30.       120.       10.5      1.402      0.143           D811000201349 
        30.       120.       11.0      1.241      0.127           D811000201350 
        30.       120.       11.5      1.135      0.116           D811000201351 
        30.       120.       12.0      1.011      0.104           D811000201352 
        30.       120.       12.5      0.886      0.091           D811000201353 
        30.       120.       13.0      0.842      0.087           D811000201354 
        30.       120.       13.5      0.792      0.082           D811000201355 
        30.       120.       14.0      0.708      0.073           D811000201356 
        30.       120.       14.5      0.646      0.067           D811000201357 
        30.       120.       15.0      0.574      0.060           D811000201358 
        30.       120.       15.5      0.521      0.055           D811000201359 
        30.       120.       16.0      0.508      0.053           D811000201360 
        30.       120.       16.5      0.483      0.051           D811000201361 
        30.       120.       17.0      0.419      0.044           D811000201362 
        30.       120.       17.5      0.394      0.042           D811000201363 
        30.       120.       18.0      0.346      0.037           D811000201364 
        30.       120.       18.5      0.334      0.036           D811000201365 
        30.       120.       19.0      0.325      0.035           D811000201366 
        30.       120.       19.5      0.298      0.032           D811000201367 
        30.       120.       20.0      0.299      0.032           D811000201368 
        30.       120.       20.5      0.247      0.027           D811000201369 
        30.       120.       21.0      0.248      0.027           D811000201370 
        30.       120.       21.5      0.195      0.022           D811000201371 
        30.       120.       22.0      0.179      0.020           D811000201372 
        30.       120.       22.5      0.173      0.019           D811000201373 
        30.       120.       23.0      0.151      0.017           D811000201374 
        30.       120.       23.5      0.176      0.020           D811000201375 
        30.       120.       24.0      0.227      0.025           D811000201376 
        30.       120.       24.5      0.267      0.029           D811000201377 
        30.       120.       25.0      0.271      0.029           D811000201378 
        30.       120.       25.5      0.274      0.030           D811000201379 
        30.       120.       26.0      0.357      0.038           D811000201380 
        30.       120.       26.5      0.453      0.048           D811000201381 
        30.       120.       27.0      0.456      0.048           D811000201382 
        30.       120.       27.5      0.380      0.040           D811000201383 
        30.       120.       28.0      0.255      0.028           D811000201384 
        30.       120.       28.5      0.154      0.017           D811000201385 
        30.       120.       29.0      0.089      0.011           D811000201386 
        30.       120.       29.5      0.057      0.007           D811000201387 
        30.       120.       30.0      0.043      0.006           D811000201388 
        30.       135.        3.5      2.100      0.214           D811000201389 
        30.       135.        4.0      4.743      0.480           D811000201390 
        30.       135.        4.5      5.184      0.525           D811000201391 
        30.       135.        5.0      4.824      0.488           D811000201392 
        30.       135.        5.5      4.330      0.439           D811000201393 
        30.       135.        6.0      4.047      0.410           D811000201394 
        30.       135.        6.5      3.641      0.369           D811000201395 
        30.       135.        7.0      3.246      0.329           D811000201396 
        30.       135.        7.5      2.879      0.292           D811000201397 
        30.       135.        8.0      2.487      0.253           D811000201398 
        30.       135.        8.5      2.198      0.224           D811000201399 
        30.       135.        9.0      1.938      0.197           D811000201400 
        30.       135.        9.5      1.707      0.174           D811000201401 
        30.       135.       10.0      1.500      0.153           D811000201402 
        30.       135.       10.5      1.292      0.132           D811000201403 
        30.       135.       11.0      1.169      0.120           D811000201404 
        30.       135.       11.5      1.104      0.113           D811000201405 
        30.       135.       12.0      0.969      0.100           D811000201406 
        30.       135.       12.5      0.869      0.090           D811000201407 
        30.       135.       13.0      0.768      0.079           D811000201408 
        30.       135.       13.5      0.704      0.073           D811000201409 
        30.       135.       14.0      0.635      0.066           D811000201410 
        30.       135.       14.5      0.571      0.060           D811000201411 
        30.       135.       15.0      0.535      0.056           D811000201412 
        30.       135.       15.5      0.486      0.051           D811000201413 
        30.       135.       16.0      0.459      0.048           D811000201414 
        30.       135.       16.5      0.382      0.041           D811000201415 
        30.       135.       17.0      0.361      0.038           D811000201416 
        30.       135.       17.5      0.369      0.039           D811000201417 
        30.       135.       18.0      0.336      0.036           D811000201418 
