ENTRY            41454   20260310                             422741454000    1 
SUBENT        41454001   20260310                             422741454001    1 
BIB                 12         23                                 41454001    2 
TITLE      Cascade gamma-decay of compound states of 60Co nucleus 41454001    3 
AUTHOR     (A.M.Sukhovoi,V.A.Khitrov)                             41454001    4 
INSTITUTE  (4ZZZDUB)                                              41454001    5 
REFERENCE  (J,BAS,67,796,2003)                                    41454001    6 
           Engl.translation of J,IZV,67,722,2003                  41454001    7 
           (J,IZV,67,722,2003) Issue 5.                           41454001    8 
FACILITY   (REAC,4ZZZDUB) IBR-30 reactor                          41454001    9 
SAMPLE      No information                                        41454001   10 
DETECTOR   (GE) Two Ge-detectors,relative efficiency 10% and 15%  41454001   11 
           were used to detect gamma-gamma coincidence during     41454001   12 
           600 h.                                                 41454001   13 
METHOD     (COINC)                                                41454001   14 
           Resolution 3 keV at the edges, 4.7 keV at the center.  41454001   15 
INC-SOURCE (REAC)                                                 41454001   16 
INC-SPECT   Thermal neutrons.                                     41454001   17 
ERR-ANALYS (DATA-ERR) Errors not specified                        41454001   18 
HISTORY    (20050829C)  Compiled at CJD (M.M.)                    41454001   19 
           (20051108A) SUB.002,.003 were corrected  (M.M.)        41454001   20 
           (20141020U) Engl.translation ref. was added.           41454001   21 
           Article was checked, BIB information was updated.      41454001   22 
           (20260310A) (N,2G) -> (N,G), REL -> MSC in REACTION    41454001   23 
           according to a comment of N.Otsuka (NDS, IAEA).        41454001   24 
            STATUS was corrected fro new rules.                   41454001   25 
ENDBIB              23          0                                 41454001   26 
COMMON               1          3                                 41454001   27 
EN-DUMMY                                                          41454001   28 
EV                                                                41454001   29 
   2.53E-02                                                       41454001   30 
ENDCOMMON            3          0                                 41454001   31 
ENDSUBENT           30          0                                 4145400199999 
SUBENT        41454002   20260310                             422741454002    1 
BIB                  5         12                                 41454002    2 
REACTION   (27-CO-59(N,G)27-CO-60,,SPC,,SPA/MSC)  Intensity of    41454002    3 
            two-gamma cascade for Co-60 compound nucleus          41454002    4 
EN-SEC     (E1,G) First gamma energy                              41454002    5 
           (E2,G) Second gamma energy                             41454002    6 
            (E-LVL,27-CO-60)) Energy of cascade intermediate level41454002    7 
COMMENT     Of compiler:                                          41454002    8 
             2. data were given in particles/1.e5 decays units    41454002    9 
                in article, recalculated by compiler              41454002   10 
HISTORY    (20051207A) Error in DATA value for E1=5660.2,E2=1554.541454002   11 
              was corrected according to Tables, received from    41454002   12 
            author A.Sukhovoy.  (M.M.)                            41454002   13 
STATUS     (TABLE,,A.M.Sukhovoi,J,BAS,67,796,2003) Table 1        41454002   14 
ENDBIB              12          0                                 41454002   15 
NOCOMMON             0          0                                 41454002   16 
DATA                 6        218                                 41454002   17 
E1         E2         DATA       DATA-ERR   E-LVL      E-LVL-ERR  41454002   18 
4151.8     2725.5     0.103      0.024      3340.1     2.0        41454002  197 
4132.0     2924.2     0.055      0.019      3359.9     0.9        41454002  198 
4116.5     2760.8     0.053      0.024      3375.4     1.1        41454002  199 
4111.8     3380.1     0.132      0.03       3380.1     0.5        41454002  200 
4077.3     3414.6     0.086      0.024      3414.6     0.6        41454002  201 
4048.9     2901.2     0.036      0.013      3443.0     0.8        41454002  202 
4038.6     2911.5     0.029      0.013      3453.3     0.9        41454002  203 
4029.3     2920.8     0.037      0.013      3462.6     1.7        41454002  204 
4029.3     2457.7     0.111      0.036      3462.6     1.7        41454002  205 
3981.2     2505.8     0.258      0.036      3510.7     0.3        41454002  206 
3972.7     3083.5     0.059      0.019      3519.2     0.8        41454002  207 
3966.1     3248.6     0.223      0.042      3525.8     0.4        41454002  208 
3966.1     2984.0     0.061      0.014      3525.8     0.4        41454002  209 
3955.2     3101.0     0.042      0.019      3536.7     1.7        41454002  210 
3955.2     2994.9     0.033      0.013      3536.7     1.7        41454002  211 
3931.0     3560.9     0.196      0.034      3560.9     1.7        41454002  212 
3931.0     3125.2     0.077      0.019      3560.9     1.7        41454002  213 
3901.6     2585.4     0.108      0.035      3590.3     0.8        41454002  214 
3891.5     3058.6     0.03       0.013      3600.4     0.9        41454002  215 
3856.8     3093.3     0.032      0.013      3635.1     0.8        41454002  216 
3841.6     3650.3     0.122      0.028      3650.3     0.5        41454002  217 
3837.0     3377.7     0.055      0.027      3654.9     1.3        41454002  218 
3825.1     3666.8     0.064      0.02       3666.8     0.9        41454002  219 
3825.1     3608.2     0.106      0.041      3666.8     0.9        41454002  220 
3825.1     3125.0     0.038      0.013      3666.8     0.9        41454002  221 
3757.2     2729.8     0.162      0.036      3734.7     0.5        41454002  222 
3749.6     3200.5     0.043      0.013      3742.3     1.8        41454002  223 
3749.6     3127.8     0.082      0.024      3742.3     1.8        41454002  224 
3749.6     2737.4     0.242      0.036      3742.3     1.8        41454002  225 
3726.7     3488.0     0.088      0.028      3765.2     0.8        41454002  226 
3701.2     3513.5     0.074      0.029      3790.7     1.0        41454002  227 
3677.2     3379.0     0.08       0.022      3814.7     1.1        41454002  228 
3677.2     2809.8     0.13       0.036      3814.7     1.1        41454002  229 
3620.4     3329.7     0.044      0.016      3871.5     1.1        41454002  230 
3620.4     3256.9     0.065      0.027      3871.5     1.1        41454002  231 
3570.2     3379.9     0.045      0.016      3921.7     0.9        41454002  232 
3504.8     2982.2     0.191      0.043      3987.1     0.6        41454002  233 
3466.3     4025.6     0.122      0.028      4025.6     0.6        41454002  234 
3466.3     3967.0     0.087      0.022      4025.6     0.6        41454002  235 
3466.3     3589.9     0.085      0.022      4025.6     0.6        41454002  236 
3450.6     3036.4     0.122      0.044      4041.3     0.9        41454002  237 
