ENTRY            F0360   20251212                             F104F0360000    1 
SUBENT        F0360001   20251212                             F104F0360001    1 
BIB                  8         17                                 F0360001    2 
TITLE      Radiative capture of protons by 11B above the peak of  F0360001    3 
           the giant dipole resonance                             F0360001    4 
AUTHOR     (G.Kernel,W.M.Mason)                                   F0360001    5 
INSTITUTE  (2UK OXF)                                              F0360001    6 
REFERENCE  (J,NP/A,123,205,1969)                                  F0360001    7 
FACILITY   (VDGT,2UK OXF)                                         F0360001    8 
SAMPLE     The target used for most of the run was 2 mg/cm2 thick F0360001    9 
           and was prepared by sintering natural boron powder.    F0360001   10 
           Additional spectra at a few energies were obtained by  F0360001   11 
           bombarding two superimposed self-supporting            F0360001   12 
           90 ug/cm2 thick enriched 11B target.                   F0360001   13 
DETECTOR   (NAICR) 24.cm x 30.cm at 90 degr. 12.5cm x 15.cm at 45 F0360001   14 
           and 135 degr.                                          F0360001   15 
HISTORY    (19851218C)                                            F0360001   16 
           (19990409U) CNPD: corrected 4-dig. year                F0360001   17 
           (20210517A) SD: Corrections in all Subents.            F0360001   18 
           (20251212U) SD: Small corrections in all Subents.      F0360001   19 
ENDBIB              17          0                                 F0360001   20 
NOCOMMON             0          0                                 F0360001   21 
ENDSUBENT           20          0                                 F036000199999 
SUBENT        F0360002   20251212                             F104F0360002    1 
BIB                  4          9                                 F0360002    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,REL)                        F0360002    3 
            No explanation of relative units is given.            F0360002    4 
ERR-ANALYS (ERR-S) Statistical error                              F0360002    5 
STATUS     (CURVE,,G.Kernel+,J,NP/A,123,205,1969) Figs 3,4        F0360002    6 
HISTORY    (20210502A) SD: SF9=EXP deleted from REACTION code.    F0360002    7 
           STATUS updated. EN-SEC deleted. Accuracy of digitized  F0360002    8 
           data presentation revised. EN-ERR -> EN-ERR-DIG;       F0360002    9 
           DATA-ERR -> ERR-S.                                     F0360002   10 
           (20251212U) SD: BIB updated.                           F0360002   11 
ENDBIB               9          0                                 F0360002   12 
COMMON               1          3                                 F0360002   13 
EN-ERR-DIG                                                        F0360002   14 
MEV                                                               F0360002   15 
 0.05                                                             F0360002   16 
ENDCOMMON            3          0                                 F0360002   17 
DATA                 5        169                                 F0360002   18 
ANG        E-LVL      EN         DATA       ERR-S                 F0360002   19 
       17.3      4.439      150.2      213.9       60.0           F0360003   78 
       18.7         0.       30.0      230.0       55.9           F0360003   79 
       18.7         0.       50.7      469.7       30.5           F0360003   80 
       18.7         0.       69.2      475.5       50.8           F0360003   81 
       18.7         0.       92.2      456.1       35.5           F0360003   82 
       18.7         0.      110.0      258.6       45.7           F0360003   83 
       18.7         0.      130.1      234.0       45.8           F0360003   84 
       18.7         0.      152.0       87.5       55.9           F0360003   85 
       18.7      4.439       32.0      595.3       51.5           F0360003   86 
       18.7      4.439       51.4      594.7       68.7           F0360003   87 
       18.7      4.439       72.4      800.2       85.9           F0360003   88 
       18.7      4.439       90.3      584.9       68.7           F0360003   89 
       18.7      4.439      109.6      421.0       68.7           F0360003   90 
       18.7      4.439      130.4      377.4       60.1           F0360003   91 
       18.7      4.439      151.1      256.5       43.0           F0360003   92 
       20.1         0.       31.7      247.2       37.8           F0360003   93 
       20.1         0.       50.7      323.4       46.1           F0360003   94 
       20.1         0.       68.6      344.9       50.4           F0360003   95 
       20.1         0.       90.6      375.0       50.4           F0360003   96 
       20.1         0.      110.5      195.1       37.8           F0360003   97 
       20.1         0.      131.5      111.7       25.1           F0360003   98 
       20.1         0.      148.2       45.0       42.0           F0360003   99 
       20.1      4.439       30.9      465.6       57.7           F0360003  100 
       20.1      4.439       53.3      535.2       70.5           F0360003  101 
       20.1      4.439       72.8      579.3       51.3           F0360003  102 
       20.1      4.439       90.7      456.8       38.5           F0360003  103 
       20.1      4.439      109.9      289.4       64.1           F0360003  104 
       20.1      4.439      129.3      237.3       32.0           F0360003  105 
       20.1      4.439      151.4      165.9       51.4           F0360003  106 
ENDDATA             86          0                                 F0360003  107 
ENDSUBENT          106          0                                 F036000399999 
SUBENT        F0360004   20251212                             F104F0360004    1 
BIB                  5         11                                 F0360004    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,SIG,,REL)                       F0360004    3 
            No explanation of relative units is given.            F0360004    4 
ERR-ANALYS (ERR-S) Statistical error                              F0360004    5 
COMMENT    Angular distributions obtained with 24 cm x 30 cm      F0360004    6 
           NaI(Tl) crystal                                        F0360004    7 
STATUS     (CURVE,,G.Kernel+,J,NP/A,123,205,1969) Fig. 7          F0360004    8 
HISTORY    (20210502A) SD: SF9=EXP deleted from REACTION code.    F0360004    9 
           STATUS updated. EN-SEC deleted. Accuracy of digitized  F0360004   10 
           data presentation revised. EN-ERR -> EN-ERR-DIG;       F0360004   11 
           DATA-ERR -> ERR-S.                                     F0360004   12 
           (20251212U) SD: BIB updated.                           F0360004   13 
ENDBIB              11          0                                 F0360004   14 
COMMON               1          3                                 F0360004   15 
EN-ERR-DIG                                                        F0360004   16 
MEV                                                               F0360004   17 
 0.10                                                             F0360004   18 
ENDCOMMON            3          0                                 F0360004   19 
DATA                 4         12                                 F0360004   20 
E-LVL      EN         DATA       ERR-S                            F0360004   21 
MEV        MEV        ARB-UNITS  ARB-UNITS                        F0360004   22 
         0.      13.03       3.80       0.19                      F0360004   23 
         0.      14.95       2.92       0.19                      F0360004   24 
         0.      15.98       2.38       0.19                      F0360004   25 
         0.      17.23       2.04       0.19                      F0360004   26 
         0.      18.64       1.65       0.15                      F0360004   27 
         0.      19.89       1.23       0.19                      F0360004   28 
      4.439      12.97       8.01       0.38                      F0360004   29 
      4.439      14.85       4.31       0.30                      F0360004   30 
      4.439      15.95       3.78       0.30                      F0360004   31 
      4.439      17.12       2.72       0.38                      F0360004   32 
      4.439      18.51       2.33       0.38                      F0360004   33 
      4.439      19.98       1.65       0.38                      F0360004   34 
ENDDATA             14          0                                 F0360004   35 
ENDSUBENT           34          0                                 F036000499999 
SUBENT        F0360005   20251212                             F104F0360005    1 
BIB                  4          8                                 F0360005    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,LEG/RS)                     F0360005    3 
ERR-ANALYS (ERR-S) Statistical error                              F0360005    4 
STATUS     (CURVE,,G.Kernel+,J,NP/A,123,205,1969) Fig. 7          F0360005    5 
HISTORY    (20210502A) SD: SF8=LEG/RSD -> LEG/RS; SF9=EXP         F0360005    6 
           deleted from REACTION code. STATUS updated. EN-SEC     F0360005    7 
           deleted. Accuracy of digitized data presentation       F0360005    8 
           revised. EN-ERR -> EN-ERR-DIG; DATA-ERR -> ERR-S.      F0360005    9 
           (20251212U) SD: BIB updated. NUMBER-CM -> NUMBER.      F0360005   10 
ENDBIB               8          0                                 F0360005   11 
COMMON               1          3                                 F0360005   12 
EN-ERR-DIG                                                        F0360005   13 
MEV                                                               F0360005   14 
 0.10                                                             F0360005   15 
ENDCOMMON            3          0                                 F0360005   16 
DATA                 5         37                                 F0360005   17 
E-LVL      NUMBER     EN         DATA-CM    ERR-S                 F0360005   18 
MEV        NO-DIM     MEV        NO-DIM     NO-DIM                F0360005   19 
         0.         1.      13.14      0.178      0.078           F0360005   20 
         0.         1.      14.99      0.385      0.077           F0360005   21 
