ENTRY            F0116   20251209                             F103F0116000    1 
SUBENT        F0116001   20251209                             F103F0116001    1 
BIB                  8         17                                 F0116001    2 
TITLE      The angular distribution and excitation of the long    F0116001    3 
           -range protons from the 9Be(d,p)10Be reaction.         F0116001    4 
AUTHOR     (F.L.Canavan)                                          F0116001    5 
INSTITUTE  (1USACUA)                                              F0116001    6 
REFERENCE  (J,PR,87,136,1952)                                     F0116001    7 
FACILITY   (VDG,1USACAW) Statitron.                               F0116001    8 
SAMPLE     Thin films of beryllium evaporated on 1-mil tungsten   F0116001    9 
           foils.                                                 F0116001   10 
DETECTOR   (PLATE) Eastman NTA plates with an emulsion 25 microns F0116001   11 
           thick.                                                 F0116001   12 
HISTORY    (19840516C)                                            F0116001   13 
           (19990407U) CNPD: corrected 4-dig. year and lower casesF0116001   14 
           (20110311A) Author's list was corrected. ERR-ANALYSIS  F0116001   15 
           codes in Sub 002, 004 were changed. FACILITY code in   F0116001   16 
           Sub 001 was added.                                     F0116001   17 
           (20200507A) SD: Corrections in all Subents.            F0116001   18 
           (20251209U) SD: Corrections in all Subents.            F0116001   19 
ENDBIB              17          0                                 F0116001   20 
NOCOMMON             0          0                                 F0116001   21 
ENDSUBENT           20          0                                 F011600199999 
SUBENT        F0116002   20251209                             F103F0116002    1 
BIB                  4         13                                 F0116002    2 
REACTION   (4-BE-9(D,P)4-BE-10,,DA,,REL)                          F0116002    3 
           No explanation of relative units is given.             F0116002    4 
ERR-ANALYS (ERR-T) Errors include both the statistical and        F0116002    5 
           systematic errors                                      F0116002    6 
           (ERR-1) The error introduced by multiple, small-angle, F0116002    7 
           Coulomb scattering at the absorbing foils              F0116002    8 
           (ERR-2) Possible displacement of the target from the   F0116002    9 
           geometrical center                                     F0116002   10 
           (ERR-3) Possible movement of the emulsion              F0116002   11 
           (ERR-4) Errors in counting                             F0116002   12 
STATUS     (CURVE,,F.L.Canavan,J,PR,87,136,1952) Fig. 4           F0116002   13 
HISTORY    (20200507U) SD: ERR-ANALYS, STATUS updated.            F0116002   14 
           (20251206U) SD: STATUS updated. DATA-ERR -> ERR-T.     F0116002   15 
ENDBIB              13          0                                 F0116002   16 
COMMON               5          3                                 F0116002   17 
COS-ERR-D  ERR-1      ERR-2      ERR-3      ERR-4                 F0116002   18 
NO-DIM     PER-CENT   PER-CENT   PER-CENT   PER-CENT              F0116002   19 
 0.010      2.         1.         1.         1.                   F0116002   20 
ENDCOMMON            3          0                                 F0116002   21 
DATA                 4        151                                 F0116002   22 
        2.2      0.535      0.722      0.082                      F0116002  166 
        2.2      0.603      0.900      0.049                      F0116002  167 
        2.2      0.687      1.029      0.082                      F0116002  168 
        2.2      0.756      1.223      0.082                      F0116002  169 
        2.2      0.823      1.352      0.131                      F0116002  170 
        2.2      0.887      1.334      0.098                      F0116002  171 
        2.2      0.919      1.333      0.098                      F0116002  172 
        2.2      0.975      0.941      0.065                      F0116002  173 
        2.2      0.976      0.990      0.098                      F0116002  174 
        2.2      0.990      0.891      0.082                      F0116002  175 
ENDDATA            153          0                                 F0116002  176 
ENDSUBENT          175          0                                 F011600299999 
SUBENT        F0116003   20251209                             F103F0116003    1 
BIB                  3          5                                 F0116003    2 
REACTION   (4-BE-9(D,P)4-BE-10,,DA,,LEG/RSD)                      F0116003    3 
STATUS     (TABLE,,F.L.Canavan,J,PR,87,136,1952) Table 1          F0116003    4 
HISTORY    (20200507A) SD: SF9=EXP deleted from REACTION code.    F0116003    5 
           STATUS updated.                                        F0116003    6 
           (20251209U) SD: STATUS updated. NUMBER-CM -> NUMBER.   F0116003    7 
ENDBIB               5          0                                 F0116003    8 
NOCOMMON             0          0                                 F0116003    9 
DATA                 3         48                                 F0116003   10 
EN         NUMBER     DATA-CM                                     F0116003   11 
MEV        NO-DIM     NO-DIM                                      F0116003   12 
       1.00         0.       0.23                                 F0116003   13 
       1.00         1.      -0.41                                 F0116003   14 
       1.00         2.       0.45                                 F0116003   15 
       1.00         3.       0.25                                 F0116003   16 
       1.00         4.      -0.08                                 F0116003   17 
       1.00         5.      -0.03                                 F0116003   18 
       1.00         6.      -0.06                                 F0116003   19 
       1.00         7.      -0.11                                 F0116003   20 
       1.25         0.       0.30                                 F0116003   21 
       1.25         1.      -0.41                                 F0116003   22 
       1.25         2.       0.54                                 F0116003   23 
       1.25         3.       0.30                                 F0116003   24 
       1.25         4.       0.02                                 F0116003   25 
       1.25         5.       0.15                                 F0116003   26 
       1.25         6.      -0.10                                 F0116003   27 
       1.25         7.      -0.06                                 F0116003   28 
       1.50         0.       0.24                                 F0116003   29 
       1.50         1.      -0.35                                 F0116003   30 
       1.50         2.       0.41                                 F0116003   31 
       1.50         3.       0.38                                 F0116003   32 
       1.50         4.      -0.01                                 F0116003   33 
       1.50         5.      -0.30                                 F0116003   34 
       1.50         6.      -0.22                                 F0116003   35 
       1.50         7.      -0.07                                 F0116003   36 
       1.75         0.       0.12                                 F0116003   37 
       1.75         1.      -0.32                                 F0116003   38 
       1.75         2.       0.40                                 F0116003   39 
       1.75         3.       0.36                                 F0116003   40 
       1.75         4.      -0.02                                 F0116003   41 
       1.75         5.      -0.29                                 F0116003   42 
       1.75         6.      -0.23                                 F0116003   43 
       1.75         7.      -0.13                                 F0116003   44 
       2.00         0.      -0.01                                 F0116003   45 
       2.00         1.      -0.16                                 F0116003   46 
       2.00         2.       0.19                                 F0116003   47 
       2.00         3.       0.42                                 F0116003   48 
       2.00         4.       0.09                                 F0116003   49 
       2.00         5.      -0.19                                 F0116003   50 
       2.00         6.      -0.17                                 F0116003   51 
       2.00         7.      -0.19                                 F0116003   52 
       2.20         0.       0.04                                 F0116003   53 
       2.20         1.      -0.11                                 F0116003   54 
       2.20         2.       0.23                                 F0116003   55 
       2.20         3.       0.25                                 F0116003   56 
       2.20         4.      -0.03                                 F0116003   57 
       2.20         5.      -0.27                                 F0116003   58 
       2.20         6.      -0.21                                 F0116003   59 
       2.20         7.      -0.13                                 F0116003   60 
ENDDATA             50          0                                 F0116003   61 
ENDSUBENT           60          0                                 F011600399999 
SUBENT        F0116004   20251209                             F103F0116004    1 
BIB                  3          5                                 F0116004    2 
REACTION   (4-BE-9(D,P)4-BE-10,,DA,,REL)                          F0116004    3 
           No explanation of relative units is given.             F0116004    4 
STATUS     (CURVE,,F.L.Canavan,J,PR,87,136,1952) Fig. 8           F0116004    5 
HISTORY    (20200507U) SD: ERR-ANALYS deleted. STATUS updated.    F0116004    6 
           (20251209U) SD: STATUS updated.                        F0116004    7 
ENDBIB               5          0                                 F0116004    8 
COMMON               3          3                                 F0116004    9 
EN-ERR-DIG ANG        ERR-DIG                                     F0116004   10 
MEV        ADEG       ARB-UNITS                                   F0116004   11 
 0.005       90.       0.01                                       F0116004   12 
ENDCOMMON            3          0                                 F0116004   13 
DATA                 2         49                                 F0116004   14 
EN         DATA                                                   F0116004   15 
MEV        ARB-UNITS                                              F0116004   16 
      0.560       1.14                                            F0116004   17 
      0.601       1.50                                            F0116004   18 
      0.655       1.72                                            F0116004   19 
      0.696       2.05                                            F0116004   20 
      0.723       2.05                                            F0116004   21 
      0.764       2.17                                            F0116004   22 
      0.818       2.43                                            F0116004   23 
      0.859       2.72                                            F0116004   24 
      0.900       2.88                                            F0116004   25 
      0.940       2.88                                            F0116004   26 
      1.007       2.88                                            F0116004   27 
      1.061       2.95                                            F0116004   28 
